VMname	RGname	subnet	nic
Jones-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Jones-VM01-nic01
Likely-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Likely-VM01-nic01
Linderbaum-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Linderbaum-VM01-nic01
Mekari-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Mekari-VM01-nic01
Moses-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Moses-VM01-nic01
Oliver-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Oliver-VM01-nic01
Powers-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Offense	Powers-VM01-nic01
Moore-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Special_Teams	Moore-VM01-nic01
Stout-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Special_Teams	Stout-VM01-nic01
Tucker-VM01	Baltimore-ravens-rg	/subscriptions/a420c4b2-abe5-4706-a51f-adc00c1c46d3/resourceGroups/Baltimore-ravens-rg/providers/Microsoft.Network/virtualNetworks/Ravens-Vnet/subnets/Special_Teams	Tucker-VM01-nic01
